
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
70-0013                          J12                               51   1     12  12   1 12         12 0 GND                 (43-1-13)
70-0013                          J12                               51   1     13  13   1 13         13 0 PA7                 (4173-6-13)
70-0013                          J12                               51   1     14  14   1 14         14 0 GND                 (43-1-13)
70-0014                          J2                                12   1      1   1   1 1           1 0                     (0-0-0)
70-0014                          J2                                12   1      2   2   1 2           2 0 RX                  (4112-8-13)
70-0014                          J2                                12   1      3   3   1 3           3 0 TX                  (4112-7-13)
70-0014                          J2                                12   1      4   4   1 4           4 0 GND                 (43-1-13)
70-0058                          J3                                37   1      1   1   1 3           7 0 SD_CMD              (4076-33-13)
70-0058                          J3                                37   1      2   2   1 7          11 0 SD_D0               (4076-30-13)
70-0058                          J3                                37   1      3   3   1 8          12 0 SD_D1               (4076-28-13)
70-0058                          J3                                37   1      4   4   1 1           5 0 SD_D2               (4076-29-13)
70-0058                          J3                                37   1      5   5   1 2           6 0 SD_D3               (4076-31-13)
70-0058                          J3                                37   1      6   6   1 6          10 0 GND                 (43-1-13)
70-0058                          J3                                37   1      7   7   1 5           9 0 SD_SCK              (4076-32-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
70-0058                          J3                                37   1      8   8   1 GND1        1 0 GND                 (43-1-13)
70-0058                          J3                                37   1      9   9   1 GND2        2 0 GND                 (43-1-13)
70-0058                          J3                                37   1     10  10   1 GND3        3 0 GND                 (43-1-13)
70-0058                          J3                                37   1     11  11   1 GND4        4 0 GND                 (43-1-13)
70-0058                          J3                                37   1     12  12   1 4           8 0 VCC                 (43-2-13)
70-0065                          J5                                16   1      1   1   1 2           2 0 OTG_FS_DM           (4076-16-13)
70-0065                          J5                                16   1      2   2   1 3           3 0 OTG_FS_DP           (4076-17-13)
70-0065                          J5                                16   1      3   3   1 5           5 0 GND                 (43-1-13)
70-0065                          J5                                16   1      4   4   1 4           4 0 OTG_FS_ID           (4076-15-13)
70-0065                          J5                                16   1      5   5   1 6           6 0 GND                 (43-1-13)
70-0065                          J5                                16   1      6   6   1 7           7 0 GND                 (43-1-13)
70-0065                          J5                                16   1      7   7   1 8           8 0 GND                 (43-1-13)
70-0065                          J5                                16   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0065                          J5                                16   1      9   9   1 1           1 0 OTG_FS_VBAT         (4076-21-13)
70-0081                          J4                                15   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J4                                15   1      2   2   1 2           2 0 XSIG020041          (4076-19-13)
70-0081                          J4                                15   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J4                                15   1      4   4   1 4           4 0 XSIG020042          (4076-20-13)
70-0081                          J4                                15   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J4                                15   1      6   6   1 6           6 0                     (0-0-0)
70-0081                          J4                                15   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J4                                15   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0081                          J4                                15   1      9   9   1 10         10 0                     (0-0-0)
70-0081                          J4                                 0   2      1   1   2 7           7 1                     (0-0-0)
70-0086                          J6                                18   1      1   1   1 MA          1 0 GND                 (43-1-13)
70-0086                          J6                                18   1      2   2   1 MB          2 0 GND                 (43-1-13)
70-0086                          J6                                18   1      3   3   1 1           3 0 XSIG020079          (4076-25-13)
70-0086                          J6                                18   1      4   4   1 2           4 0 GND                 (43-1-13)
70-0087                          J7                                59   1      1   1   1 FEED        1 0 XSIG011315          (4173-1-13)
70-0087                          J7                                59   1      2   2   1 GND1        2 0 GND                 (43-1-13)
70-0087                          J7                                59   1      3   3   1 GND2        3 0 GND                 (43-1-13)
70-0087                          J11                               60   1      1   1   1 FEED        1 0 XSIG011317          (4173-2-13)
70-0087                          J11                               60   1      2   2   1 GND1        2 0 GND                 (43-1-13)
70-0087                          J11                               60   1      3   3   1 GND2        3 0 GND                 (43-1-13)
80-0010                          BZ1                               40   1      1   1   1 1           1 0 XSIG020310          (4112-19-13)
80-0010                          BZ1                               40   1      2   2   1 2           2 0 XSIG020304          (4112-17-13)
80-0021                          J8                                42   1      1   1   1 1           3 0 JOYSTICK_4          (4112-13-13)
80-0021                          J8                                42   1      2   2   1 4           6 0 JOYSTICK_1          (4076-39-13)
80-0021                          J8                                42   1      3   3   1 3           5 0 JOYSTICK_5          (4076-53-13)
80-0021                          J8                                42   1      4   4   1 5           7 0 JOYSTICK_2          (4076-40-13)
80-0021                          J8                                42   1      5   5   1 6           8 0 JOYSTICK_3          (4076-41-13)
80-0021                          J8                                42   1      6   6   1 2           4 0 XSIG020228          (4112-12-13)
80-0021                          J8                                 0   2      1   1   2 PAD0        1 1 GND                 (43-1-13)
80-0021                          J8                                 0   2      1   1   3 PAD1        2 1 GND                 (43-1-13)
80-0035                          SW1                               48   1      1   1   1 1           1 0 GND                 (43-1-13)
80-0035                          SW1                               48   1      2   2   1 2           2 0 RSTn                (4076-7-13)
80-0056                          U2                                43   1      1   1   1 43         40 0 XSIG011315          (4173-1-13)
80-0056                          U2                                43   1      2   2   1 47         44 0 XSIG011317          (4173-2-13)
80-0056                          U2                                43   1      3   3   1 9           9 0                     (0-0-0)
80-0056                          U2                                43   1      4   4   1 4           4 0                     (0-0-0)
80-0056                          U2                                43   1      5   5   1 5           5 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
80-0056                          U2                                43   1      6   6   1 6           6 0                     (0-0-0)
80-0056                          U2                                43   1      7   7   1 7           7 0                     (0-0-0)
80-0056                          U2                                43   1      8   8   1 8           8 0                     (0-0-0)
